team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
NC,김태군,포수,8000,1989-12-30,1989,182,92,양정초,대동중,부산고,한국,(방송통신대)-LG,2008,LG
NC,김태우,포수,2500,1989-07-23,1989,180,80,이수초,성남중,성남고,한국,단국대,2012,NC
삼성,김희석,포수,2400,1990-02-25,1990,179,75,창영초(부평 싱싱),재능중,제물포고,한국,성균관대,2014,삼성
NC,박광열,포수,2400,1995-08-28,1995,182,74,도곡초,이수중,휘문고,한국,,2014,NC
한화,박노민,포수,3500,1985-08-18,1985,182,93,공주중동초,공주중,공주고,한국,한화-(대전대)-상무,2004,한화
넥센,박동원,포수,3400,1990-04-07,1990,179,92,양정초,개성중,개성고,한국,히어로즈-넥센-상무,2009,히어로즈
KIA,백용환,포수,2900,1989-03-20,1989,180,84,서울영중초,양천중,장충고,한국,KIA-경찰,2008,KIA
두산,양의지,포수,20000,1987-06-05,1987,179,85,송정동초,무등중,진흥고,한국,두산-경찰,2006,두산
한화,엄태용,포수,3500,1994-02-24,1994,183,85,공주중동초,공주중,북일고,한국,,2012,한화
롯데,용덕한,포수,6500,1981-04-09,1981,176,82,대구중앙초,대구중,대구상고,한국,동아대-두산-상무-두산,2004,두산
두산,윤도경,포수,2500,1989-07-02,1989,182,85,수창초,동성중,동성고,한국,두산-경찰,,
LG,윤요섭,포수,10000,1982-03-30,1982,180,96,남산초,덕수중,충암고,한국,단국대-SK,2008,SK
KIA,이성우,포수,3700,1981-09-01,1981,180,83,백운초,청원중,성남서고,한국,상무-SK,2003,상무
NC,이승재,포수,2400,1983-06-09,1983,182,88,양덕초,마산중,마산고,한국,경희대-롯데,,
넥센,이용하,포수,2400,1995-05-03,1995,185,90,인헌초,이수중,성남고,한국,,2014,넥센
SK,이윤재,포수,2500,1989-01-02,1989,179,89,흥무초,경주중,경주고,한국,경남대,2014,SK
SK,이재원,포수,7500,1988-02-24,1988,185,98,숭의초,상인천중,인천고,한국,SK-상무,2006,SK
삼성,이정식,포수,5500,1981-11-02,1981,183,90,중대초,자양중,장충고,한국,경성대-삼성-상무,2004,삼성
한화,이준수,포수,3800,1988-06-17,1988,176,80,서울백운초,신일중,신일고,한국,,2012,한화
삼성,이지영,포수,9000,1986-02-27,1986,178,83,서화초,신흥중,제물포고,한국,경성대-삼성-상무,2009,삼성
NC,이태원,포수,3200,1986-03-17,1986,177,78,충암초,충암중,충암고,한국,동국대-LG-상무,2010,LG
넥센,이해창,포수,2400,1987-05-11,1987,184,85,강남초,이수중,경기고,한국,한양대,2010,넥센
KIA,이홍구,포수,3000,1990-12-11,1990,180,95,장안초,건대부중,장충고,한국,단국대,2013,KIA
삼성,이흥련,포수,2500,1989-05-16,1989,183,85,상탑초,매송중,야탑고,한국,홍익대,,
한화,이희근,포수,4500,1985-06-07,1985,179,83,동명초,자양중,중앙고,한국,성균관대-한화-상무,,
넥센,임태준,포수,2400,1988-04-23,1988,177,86,수창초,진흥중,전주고,한국,현대,2007,현대
롯데,장성우,포수,5500,1990-01-17,1990,187,100,감천초,경남중,경남고,한국,(영남사이버대)-롯데-경찰,,
두산,장승현,포수,2400,1994-03-07,1994,184,86,서림초,동산중,제물포고,한국,,2013,두산
한화,정범모,포수,5300,1987-03-26,1987,184,94,내덕초,청주중,청주기공고,한국,(영남사이버대),2006,한화
SK,정상호,포수,15500,1982-12-24,1982,187,98,석천초,동인천중,동산고,한국,SK-상무,2001,SK
LG,조윤준,포수,3500,1989-08-30,1989,185,95,신흥초,한밭중,북일고,한국,중앙대,2012,LG
한화,조인성,포수,40000,1975-05-25,1975,183,99,수유초,신일중,신일고,한국,연세대-LG-SK,1998,LG
삼성,진갑용,포수,25000,1974-05-08,1974,182,90,하단초,초량중,부산고,한국,고려대-두산,1997,OB
KIA,차일목,포수,8000,1981-01-26,1981,176,81,본리초,경운중,대구상고,한국,홍익대,2003,KIA
삼성,채상병,포수,4500,1979-12-18,1979,184,95,효제초,홍은중,휘문고,한국,연세대-한화-두산,2002,한화
LG,최경철,포수,5000,1980-08-15,1980,180,86,효자초,전주동중,전주고,한국,동의대-SK-상무-SK-넥센,,
두산,최재훈,포수,5000,1989-08-27,1989,178,76,화곡초,덕수중,덕수고,한국,(방송통신대)-두산-경찰,2008,두산
넥센,허도환,포수,8700,1984-07-31,1984,176,87,서울학동초,이수중,서울고,한국,단국대-두산,2007,두산
SK,허웅,포수,3000,1983-09-17,1983,177,84,부산연천초,사직중,부산고,한국,,2002,현대
NC,허준,포수,4000,1981-07-20,1981,182,97,미양초,청량중,덕수정보고,한국,연세대-현대-우리-히어로즈-넥센,2005,현대
LG,현재윤,포수,7800,1979-07-08,1979,174,80,수유초,신일중,신일고,한국,성균관대-삼성,2002,삼성
KIA,오두철,포수,2400,1985-04-25,1985,178,78,제주남초,제주제일중,일본 교토국제고,한국,일본 오사카판남대,,
NC,정성민,포수,2400,1991-03-29,1991,180,85,효제초,홍은중,장충고,한국,경희대,,
한화,강경학,내야수,2400,1992-08-11,1992,180,72,대성초,동성중,동성고,한국,,,
삼성,강명구,내야수,6000,1980-10-25,1980,181,70,중앙초,진흥중,진흥고,한국,탐라대-삼성-상무,2003,삼성
NC,강민국,내야수,2400,1992-01-10,1992,176,80,송정동초,충장중,광주제일고,한국,동국대,2014,NC
넥센,강정호,내야수,42000,1987-04-05,1987,183,96,화정초,무등중,광주제일고,한국,(남부대)-현대,2006,현대
KIA,강한울,내야수,2400,1991-09-12,1991,181,66,사당초,중앙중,안산공고,한국,원광대,2014,KIA
두산,고영민,내야수,7500,1984-02-08,1984,182,73,도신초,영남중,성남고,한국,,2002,두산
KIA,고영우,내야수,2800,1990-01-08,1990,183,80,대성초,동성중,동성고,한국,성균관대,2013,KIA
LG,권용관,내야수,8000,1976-11-19,1976,180,80,봉천초,강남중,성남고,한국,LG-SK,1995,LG
두산,김강,내야수,3000,1988-10-16,1988,188,92,화정초,무등중,광주제일고,한국,한화-두산-상무,,
삼성,김경모,내야수,2700,1989-06-15,1989,177,72,응암초,홍은중,장충고,한국,삼성-상무,2008,삼성
KIA,김광연,내야수,2600,1991-11-13,1991,182,73,군산중앙초,전라중,전주고,한국,송원대,2013,KIA
두산,김동주,내야수,60000,1976-02-03,1976,180,102,중대초,배명중,배명고,한국,고려대-OB,1998,OB
넥센,김민성,내야수,18000,1988-12-17,1988,181,94,고명초,잠신중,덕수정보고,한국,(영남사이버대)-롯데,2007,롯데
KIA,김민우,내야수,8300,1979-03-21,1979,184,84,관산초,중앙중,부천고,한국,한양대-현대-우리-히어로즈-넥센,2002,현대
삼성,김상수,내야수,24000,1990-03-23,1990,175,68,옥산초,경복중,경북고,한국,(대구사이버대),2009,삼성
KIA,김선빈,내야수,13000,1989-12-18,1989,165,70,화순초,화순중,화순고,한국,,2008,KIA
SK,김성현,내야수,7000,1987-03-09,1987,172,70,송정동초,충장중,광주제일고,한국,SK-상무,2006,SK
SK,김연훈,내야수,6000,1984-12-23,1984,180,72,군산초,군산남중,군산상고,한국,성균관대-KIA,2008,SK
LG,김연훈,내야수,6000,1984-12-23,1984,180,72,군산초,군산남중,군산상고,한국,성균관대-KIA,2008,SK
LG,김영관,내야수,2700,1985-07-20,1985,178,80,봉천초,강남중,선린인터넷고,한국,한양대,2012,LG
삼성,김용의,내야수,10000,1985-08-20,1985,187,74,사당초,선린중,선린인터넷고,한국,고려대-두산,2008,두산
두산,김재현,내야수,2400,1991-08-30,1991,176,73,홍파초(도봉리틀),건대부중,배명고,한국,한양대,,
삼성,김재호,내야수,11700,1985-03-21,1985,181,75,남정초,중앙중,중앙고,한국,두산-상무,2004,두산
롯데,김주현,내야수,2000,1988-04-16,1988,182,85,신원초,양천중,덕수정보고,한국,(영남사이버대)-KIA,2010,롯데
KIA,김주형,내야수,6100,1985-12-15,1985,186,100,학강초,동성중,동성고,한국,KIA-상무,2004,KIA
넥센,김지수,내야수,3500,1986-08-23,1986,180,81,서일초(서초리틀),경원중,중앙고,한국,동국대-히어로즈-넥센-경찰,2009,히어로즈
한화,김태균,내야수,150000,1982-05-29,1982,185,110,천안남산초,천안북중,북일고,한국,(대전대),2001,한화
삼성,김태완,내야수,10000,1981-09-19,1981,174,81,영도초,경남중,경남고,한국,중앙대-LG-경찰-LG,2004,LG
NC,김태진,내야수,2400,1995-10-07,1995,173,68,수유초,신일중,신일고,한국,,2014,NC
넥센,김하성,내야수,2400,1995-10-17,1995,175,76,부천북초,부천중,야탑고,한국,,2014,넥센
한화,김회성,내야수,3400,1985-12-04,1985,190,92,신흥초,한밭중,세광고,한국,경성대-한화-경찰,,
삼성,나바로,내야수,250000,1987-10-31,1987,183,93,,,,도미니카,,,
SK,나주환,내야수,20000,1984-06-14,1984,180,84,성동초(월드리틀),휘문중,북일고,한국,두산,2003,두산
NC,노진혁,내야수,4800,1989-07-15,1989,184,80,대성초,동성중,동성고,한국,성균관대,2012,NC
한화,노태형,내야수,2400,1995-02-08,1995,182,74,남산초,천안북중,북일고,한국,,2014,한화
삼성,모상기,내야수,3000,1987-01-03,1987,193,100,화계초,신일중,신일고,한국,삼성-상무,2006,삼성
NC,모창민,내야수,8600,1985-05-08,1985,188,89,화정초,충장중,광주제일고,한국,성균관대-SK-상무-SK,2008,SK
롯데,문규현,내야수,6800,1983-07-05,1983,184,87,군산초,군산남중,군산상고,한국,롯데-상무,2002,롯데
두산,문진제,내야수,2400,1991-08-01,1991,183,79,서림초,동성중,동성고,한국,원광대,2014,두산
LG,박경수,내야수,9000,1984-03-31,1984,178,80,미성초,성남중,성남고,한국,(방송통신대),,
삼성,박계범,내야수,2400,1996-01-11,1996,178,72,순천북초,이수중,효천고,한국,,2014,삼성
SK,박계현,내야수,2900,1992-03-08,1992,181,77,광주대성초,전라중,군산상고,한국,,2014,SK
KIA,박기남,내야수,9000,1981-08-14,1981,175,80,길동초,건대부중,배재고,한국,단국대-LG-상무-LG,2004,LG
롯데,박기혁,내야수,7000,1981-06-04,1981,179,77,대구수창초,성광중,대구상고,한국,,2000,롯데
NC,박민우,내야수,2600,1993-02-06,1993,185,80,마포초(용산리틀),선린중,휘문고,한국,,2012,NC
넥센,박병호,내야수,50000,1986-07-10,1986,185,107,영일초(광명리틀),영남중,성남고,한국,LG-상무-LG,2005,LG
SK,박상현,내야수,2400,1989-11-22,1989,177,81,대성초,진흥중,진흥고,한국,,,
삼성,박석민,내야수,37000,1985-06-22,1985,178,88,율하초,경복중,대구고,한국,(대구사이버대)-삼성-상무,2004,삼성
SK,박승욱,내야수,2700,1992-12-04,1992,184,78,칠성초,경복중,상원고,한국,,2012,SK
SK,박윤,내야수,3500,1988-03-07,1988,181,90,동막초,상인천중,인천고,한국,SK-상무,2007,SK
SK,박정권,내야수,23500,1981-07-21,1981,187,93,효자초,전주동중,전주고,한국,동국대-SK-상무,2004,SK
롯데,박종윤,내야수,12000,1982-04-11,1982,188,92,구영초,제일중,포철공고,한국,롯데-상무,2001,롯데
롯데,박준서,내야수,6800,1981-12-11,1981,180,80,효덕초,동성중,동성고,한국,(대불대)-SK,2001,SK
SK,박진만,내야수,20000,1976-11-30,1976,178,82,서화초,상인천중,인천고,한국,(경기대)-현대-삼성,1996,현대
KIA,박찬호,내야수,2400,1995-06-05,1995,178,71,신답초,건대부중,장충고,한국,,2014,KIA
삼성,백상원,내야수,2600,1988-01-02,1988,177,76,남도초,경상중,경북고,한국,단국대-삼성-상무,2010,삼성
넥센,백승룡,내야수,3500,1982-08-16,1982,180,83,사직초(부산극동리틀),사직중,경남상고,한국,경성대-한화,2005,한화
LG,백창수,내야수,2800,1988-05-09,1988,179,79,고명초,덕수중,경기고,한국,(영남사이버대)-LG-경찰,,
넥센,서건창,내야수,9300,1989-08-22,1989,176,84,송정초,충장중,광주제일고,한국,LG,2008,LG
넥센,서동욱,내야수,9000,1984-03-21,1984,188,99,서울학동초,휘문중,경기고,한국,(전남과학대)-KIA-상무-LG,2008,LG
NC,손시헌,내야수,40000,1980-10-19,1980,172,73,화곡초,선린중,선린인터넷고,한국,동의대-두산-상무-두산,2003,두산
롯데,손용석,내야수,2700,1987-04-13,1987,175,84,사직초(부산동래마린스리틀),부산중,부산고,한국,,2006,롯데
LG,손주인,내야수,15000,1983-12-01,1983,179,82,서석초,진흥중,진흥고,한국,삼성-경찰-삼성,2002,삼성
한화,송광민,내야수,7000,1983-06-24,1983,184,90,신흥초,충남중,공주고,한국,동국대,,
롯데,신본기,내야수,5000,1989-03-21,1989,178,82,감천초,경남중,경남고,한국,동아대,2012,롯데
SK,신현철,내야수,2600,1987-11-02,1987,179,84,대일초,평촌중,유신고,한국,현대-우리-히어로즈-넥센,2006,현대
SK,안정광,내야수,2600,1989-11-29,1989,184,82,상인천초,동산중,제물포고,한국,제주산업대,2010,SK
KIA,안치홍,내야수,15000,1990-07-02,1990,178,80,구지초(구리리틀),대치중,서울고,한국,,2009,KIA
넥센,안태영,내야수,3000,1985-03-15,1985,186,93,봉천초,강남중,선린인터넷고,한국,삼성,2004,삼성
LG,양석환,내야수,2400,1991-07-15,1991,185,90,백운초,신일중,신일고,한국,동국대,2014,LG
두산,양종민,내야수,2900,1990-10-09,1990,181,81,사당초,강남중,덕수고,한국,(영남사이버대)-롯데,2009,롯데
롯데,오승택,내야수,2500,1991-11-18,1991,186,85,쌍문초,신월중,청원고,한국,롯데-경찰,,
두산,오장훈,내야수,2700,1984-05-19,1984,186,100,영일초,영남중,성남고,한국,홍익대-롯데,2009,롯데
두산,오재원,내야수,17000,1985-02-09,1985,185,75,학동초,경원중,야탑고,한국,경희대,2007,두산
두산,오재일,내야수,7300,1986-10-29,1986,187,95,인창초(구리리틀),인창중,야탑고,한국,현대-상무-히어로즈-넥센,2005,현대
LG,오지환,내야수,15000,1990-03-12,1990,186,80,군산초,자양중,경기고,한국,,2009,LG
SK,유서준,내야수,2400,1995-12-04,1995,178,75,사우초(김포리틀),양천중,성남고,한국,,2014,SK
NC,유영준,내야수,2400,1994-07-13,1994,183,79,이수초,홍은중,덕수고,한국,,2013,NC
넥센,유재신,내야수,4200,1987-11-21,1987,179,70,사직초(부산동래마린스리틀),사직중,북일고,한국,현대-우리-히어로즈-경찰,2006,현대
NC,윤대영,내야수,2400,1994-01-31,1994,186,97,서림초,무등중,진흥고,한국,,2013,NC
넥센,윤석민,내야수,7700,1985-09-04,1985,180,88,구리초(구리리틀),구리인창중,구리인창고,한국,두산,2004,두산
KIA,윤완주,내야수,3500,1989-02-25,1989,178,77,대연초,부산중,개성고,한국,경성대,2012,KIA
SK,이대수,내야수,35000,1981-08-21,1981,175,76,군산중앙초,군산중,군산상고,한국,SK-두산-한화,2002,SK
NC,이명환,내야수,2400,1985-04-26,1985,188,94,율하초,성광중,대구고,한국,한양대,2012,NC
KIA,이범호,내야수,45000,1981-11-25,1981,183,93,대구수창초,경운중,대구고,한국,한화,2000,한화
NC,이상호,내야수,4000,1989-02-05,1989,180,82,옥산초,경운중,상원고,한국,영동대-롯데-SK,2013,NC
두산,이성곤,내야수,2400,1992-03-25,1992,186,93,성동초,잠실중,경기고,한국,연세대,2014,두산
삼성,이승엽,내야수,80000,1976-08-18,1976,183,87,중앙초,경상중,경북고,한국,,1995,삼성
롯데,이여상,내야수,5000,1984-02-01,1984,183,83,감천초,대동중,부산공고,한국,동국대-삼성-한화,2007,삼성
두산,이원석,내야수,15000,1986-10-21,1986,182,82,학강초,동성중,동성고,한국,(세민디지털대)-롯데,2005,롯데
NC,이창섭,내야수,2400,1987-03-10,1987,182,77,사파초,신월중,용마고,한국,경성대-넥센-상무-넥센,,
한화,이창열,내야수,2400,1991-09-06,1991,175,70,수유초,신일중,신일고,한국,건국대,2014,한화
롯데,이창진,내야수,2400,1991-03-04,1991,175,80,신도초,동인천중,인천고,한국,건국대,2014,롯데
한화,이학준,내야수,4300,1985-02-25,1985,182,84,고명초,건대부중,휘문고,한국,(방송통신대)-LG-경찰-LG,2004,LG
NC,이현곤,내야수,15000,1980-02-21,1980,183,83,송정동초,무등중,광주제일고,한국,연세대-KIA,2002,KIA
NC,이호준,내야수,45000,1976-02-08,1976,187,95,중앙초,충장중,광주제일고,한국,(호남대)-해태-SK,1994,해태
넥센,임동휘,내야수,2400,1995-08-22,1995,180,90,신흥초,건대부중,덕수고,한국,,2014,넥센
넥센,임병욱,내야수,2400,1995-09-30,1995,185,84,신곡초,배명중,덕수고,한국,,2014,넥센
한화,임익준,내야수,3800,1988-03-15,1988,180,83,화정초,충장중,동성고,한국,삼성-상무-삼성,,
롯데,임종혁,내야수,2500,1990-04-07,1990,177,75,중대초,배명중,배명고,한국,동국대,2013,롯데
롯데,장성호,내야수,14000,1977-10-18,1977,183,92,충암초,충암중,충암고,한국,해태-KIA-한화,1996,해태
넥센,장시윤,내야수,2400,1993-09-23,1993,183,75,서화초,동인천중,인천고,한국,,2014,넥센
LG,장준원,내야수,2400,1995-11-21,1995,183,77,경운초(김해리틀),개성중,경남고,한국,,2014,LG
한화,전현태,내야수,3700,1986-07-09,1986,184,87,서울이수초,대치중,부산고,한국,한화-경찰,2005,한화
한화,정근우,내야수,70000,1982-10-02,1982,172,80,성북초(부산동래마린스리틀),부산동성중,부산고,한국,고려대-SK,2005,SK
넥센,정범수,내야수,2400,1992-08-08,1992,178,79,미성초,성남중,성남고,한국,넥센-경찰,,
삼성,정병곤,내야수,4000,1988-03-23,1988,176,72,내당초(삼성리틀),경북중,경북고,한국,단국대-(계명대)-LG,2011,LG
LG,정성훈,내야수,50000,1980-06-27,1980,182,83,송정초,무등중,광주제일고,한국,해태-KIA-현대-우리,1999,해태
삼성,정현,내야수,2800,1994-06-01,1994,181,80,수영초,대천중,부산고,한국,(대구사이버대),2013,삼성
롯데,정훈,내야수,8000,1987-07-18,1987,181,84,양덕초,마산동중,용마고,한국,,2010,롯데
삼성,조동찬,내야수,22000,1983-07-27,1983,180,80,중동초,공주중,공주고,한국,(대불대),2002,삼성
SK,조성우,내야수,3500,1988-02-08,1988,188,91,평원초,원주중,원주고,한국,한민대,2010,SK
롯데,조성환,내야수,20000,1976-12-23,1976,180,83,백운초,충암중,충암고,한국,원광대,1999,롯데
LG,조쉬벨,내야수,250000,1986-11-13,1986,190,104,,,,미국,,,
NC,조영훈,내야수,10500,1982-11-12,1982,185,90,영랑초,설악중,속초상고,한국,건국대-삼성-경찰-삼성-KIA,2005,삼성
한화,조정원,내야수,2700,1990-08-10,1990,176,76,금평초,장성중,야탑고,한국,건국대,2013,한화
NC,조평호,내야수,3600,1985-08-07,1985,188,84,덕성초(안산리틀),안산중앙중,부천고,한국,현대-우리-넥센,2004,현대
NC,지석훈,내야수,6000,1984-03-17,1984,181,74,가동초,휘문중,휘문고,한국,현대-우리-상무-넥센,2008,넥센
삼성,차화준,내야수,2800,1986-03-20,1986,180,82,동천초,경주중,경주고,한국,현대-우리-넥센-NC,2005,현대
LG,채은성,내야수,2400,1990-02-06,1990,186,92,순천북초,순천이수중,효천고,한국,,2014,LG
삼성,채태인,내야수,21000,1982-10-11,1982,187,94,대신초,대동중,부산상고,한국,,2003,보스턴
LG,최승준,내야수,2700,1988-01-11,1988,188,88,서림초,동산중,동산고,한국,,2006,LG
두산,최영진,내야수,3500,1988-05-10,1988,185,87,영랑초,설악중,속초상고,한국,한일장신대-LG,2012,LG
SK,최정,내야수,70000,1987-02-28,1987,180,84,대일초,평촌중,유신고,한국,,2005,SK
두산,최주환,내야수,5800,1988-02-28,1988,178,73,학강초,동성중,동성고,한국,두산-상무,2006,두산
롯데,최준석,내야수,40000,1983-02-15,1983,187,130,칠성초,포철중,포철공고,한국,(영남사이버대)-롯데,2001,롯데
두산,최형록,내야수,2400,1989-08-23,1989,180,98,군산초,군산중,군상상고,한국,,2007,미네소타
KIA,최희섭,내야수,10000,1979-03-16,1979,196,99,송정동초,충장중,광주제일고,한국,고려대,2002,시카고컵스
두산,칸투,내야수,250000,1982-01-30,1982,192,92,,,,미국,,,
NC,테임즈,내야수,250000,1986-11-10,1986,183,95,,,,미국,,,
KIA,필,내야수,250000,1984-09-09,1984,193,102,,,,미국,,,
한화,한상훈,내야수,20000,1980-06-03,1980,176,78,화곡초,신일중,신일고,한국,경희대,2003,한화
두산,허경민,내야수,8000,1990-08-26,1990,176,69,송정동초,충장중,광주제일고,한국,두산-경찰,2009,두산
SK,홍명찬,내야수,2600,1987-01-19,1987,187,90,응암초,홍은중,한서고,한국,,2006,SK
넥센,홍성갑,내야수,2400,1992-08-02,1992,181,80,서원초,천안북중,북일고,한국,,,
두산,홍성흔,내야수,40000,1977-02-28,1977,180,96,공릉초(강북리틀),중앙중,중앙고,한국,경희대-두산-롯데,1999,두산
NC,홍지운,내야수,2400,1991-11-30,1991,183,84,응암초,홍은중,중앙고,한국,경남대,2014,NC
LG,황목치승,내야수,2400,1985-06-21,1985,173,68,제주남초,제주제일중,일본 교토국제고,한국,일본 아세아대,,
롯데,황재균,내야수,19000,1987-07-28,1987,183,90,사당초,이수중,경기고,한국,(영남사이버대)-현대-우리-히어로즈-넥센,2006,현대
KIA,황정립,내야수,3200,1989-12-14,1989,182,85,학동초,경원중,배명고,한국,고려대,,
롯데,황진수,내야수,2500,1989-02-15,1989,180,79,석천초,대헌중,공주고,한국,,,
롯데,히메네스,내야수,250000,1982-05-07,1982,192,127,,,,Unknown,,,
삼성,강봉규,외야수,10000,1978-01-12,1978,183,88,부산부전초,개성중,경남고,한국,고려대-두산,2000,두산
넥센,강지광,외야수,2400,1990-10-23,1990,181,100,진북초,상인천중,인천고,한국,LG,,
롯데,고도현,외야수,2400,1990-10-13,1990,182,97,내당초,경운중,대구고,한국,동의대,2013,롯데
한화,고동진,외야수,10000,1980-04-01,1980,183,85,대전중리초,한밭중,대전고,한국,성균관대,2004,한화
넥센,고종욱,외야수,2900,1989-01-11,1989,184,83,역삼초,대치중,경기고,한국,한양대-넥센-상무,,
두산,국해성,외야수,2500,1989-10-08,1989,180,94,군산중앙초,동인천중,인천고,한국,,2009,두산
NC,권희동,외야수,5100,1990-12-30,1990,177,85,동천초,경주중,경주고,한국,경남대,2013,NC
SK,김강민,외야수,30000,1982-09-13,1982,182,85,본리초,대구중,경북고,한국,,2001,SK
한화,김경언,외야수,5800,1982-12-07,1982,188,84,부산중앙초,개성중,경남상고,한국,KIA,2001,KIA
두산,김경호,외야수,2400,1995-07-31,1995,180,68,희망대초,매송중,야탑고,한국,,2014,두산
넥센,김남형,외야수,2500,1988-05-08,1988,177,77,동막초,동인천중,인천고,한국,현대,2007,현대
KIA,김다원,외야수,2800,1985-09-17,1985,185,88,학강초,동성중,동성고,한국,성균관대-한화-KIA-경찰,,
롯데,김대우,외야수,3500,1984-07-26,1984,190,94,광주대성초,무등중,광주제일고,한국,상무,2005,상무
SK,김도현,외야수,2800,1992-10-23,1992,182,95,서석초,동성중,진흥고,한국,넥센,2011,넥센
롯데,김문호,외야수,4000,1987-06-22,1987,184,90,신제주초,덕수중,덕수정보고,한국,(영남사이버대)-롯데-상무,2006,롯데
넥센,김민준,외야수,2400,1994-02-12,1994,174,73,군산남초,온양중,북일고,한국,,2013,넥센
롯데,김민하,외야수,2600,1989-02-25,1989,183,82,승학초,부산대신중,경남고,한국,중앙대-롯데-상무,,
SK,김상현,외야수,16000,1980-11-12,1980,190,95,군산초,군산남중,군산상고,한국,(대불대)-해태-KIA-LG-상무-LG-KIA,2001,KIA
NC,김성욱,외야수,2500,1993-05-01,1993,181,83,서림초,충장중,진흥고,한국,,2012,NC
KIA,김원섭,외야수,25000,1978-12-18,1978,180,75,장안초,배명중,배명고,한국,단국대-두산,2001,두산
SK,김재현,외야수,4000,1987-11-07,1987,174,70,방배초,경원중,원주고,한국,,2006,SK
NC,김종호,외야수,9000,1984-05-31,1984,183,82,성수초,청량중,배재고,한국,건국대-삼성-상무-삼성,2007,삼성
KIA,김주찬,외야수,50000,1981-03-25,1981,183,85,충암초(장충리틀),충암중,충암고,한국,삼성-롯데,2000,삼성
NC,김준완,외야수,2400,1991-01-20,1991,174,73,길동초,건국사대부중,장충고,한국,고려대,2013,NC
두산,김진형,외야수,2500,1990-06-07,1990,179,83,신봉초,선린중,선린인터넷고,한국,두산-상무,,
한화,김태완,외야수,10000,1984-01-27,1984,189,105,양목초,신월중,중앙고,한국,성균관대,2006,한화
삼성,김헌곤,외야수,2500,1988-11-09,1988,174,81,회원초,경복중,제주관광고,한국,영남대,2011,삼성
두산,김현수,외야수,45000,1988-01-12,1988,188,100,수유초,신일중,신일고,한국,,2006,두산
NC,나성범,외야수,7500,1989-10-03,1989,183,100,대성초,진흥중,진흥고,한국,연세대,2012,NC
KIA,나지완,외야수,20000,1985-05-19,1985,182,95,수유초,신일중,신일고,한국,단국대,2008,KIA
한화,노수광,외야수,2400,1990-08-06,1990,180,75,유천초,청주중,청주고,한국,건국대,2014,한화
넥센,로티노,외야수,270000,1980-04-07,1980,183,86,,,,미국,,,
KIA,류현철,외야수,2400,1991-05-08,1991,186,81,구암초,성남중,성남고,한국,경남대,2014,KIA
삼성,문선엽,외야수,2700,1991-07-31,1991,175,80,양덕초,마산중,마산고,한국,(대구사이버대)-삼성-경찰,,
LG,문선재,외야수,7500,1990-05-20,1990,184,80,서림초,동성중,동성고,한국,LG-상무,2009,LG
넥센,문우람,외야수,6200,1992-03-08,1992,177,83,화순초,동성중,동성고,한국,,2012,넥센
두산,민병헌,외야수,14500,1987-03-10,1987,178,78,화곡초,잠신중,덕수정보고,한국,두산-경찰,2006,두산
두산,박건우,외야수,3100,1990-09-08,1990,184,80,역삼초,이수중,서울고,한국,두산-경찰,2009,두산
한화,박상규,외야수,2600,1989-05-02,1989,183,82,신흥초,충남중,대전고,한국,한화-상무,2008,한화
LG,박용근,외야수,4000,1984-01-21,1984,172,76,영랑초,설악중,속초상고,한국,영남대-LG-경찰,,
LG,박용택,외야수,35000,1979-04-21,1979,185,90,고명초,휘문중,휘문고,한국,고려대,,
NC,박으뜸,외야수,2500,1990-06-14,1990,176,70,서원초,세광중,세광고,한국,경남대,2013,NC
SK,박재상,외야수,16000,1982-07-20,1982,178,80,성남동초,매송중,서울고,한국,SK-상무,2001,SK
NC,박정준,외야수,5300,1984-06-26,1984,185,87,양덕초,경남중,경남고,한국,롯데-상무-롯데-넥센,,
KIA,박준태,외야수,2400,1991-07-26,1991,181,75,대연초,부산중,개성고,한국,인하대,2014,KIA
한화,박준혁,외야수,2400,1991-01-09,1991,188,91,충암초,홍은중,장충고,한국,제주국제대,2014,한화
삼성,박찬도,외야수,2600,1989-02-22,1989,185,75,비산초(안양리틀),평촌중,안산공고,한국,중앙대,2012,삼성
삼성,박한이,외야수,45000,1979-01-28,1979,182,91,초량초,부산중,부산고,한국,동국대,2001,삼성
삼성,박해민,외야수,2400,1990-02-24,1990,180,75,영중초,양천중,신일고,한국,한양대,2012,삼성
넥센,박헌도,외야수,2600,1987-01-01,1987,180,91,사파초,신월중,용마고,한국,경성대-히어로즈-상무,2009,히어로즈
LG,배병옥,외야수,2400,1995-11-21,1995,185,80,도신초,성남중,성남고,한국,,2014,LG
롯데,백민기,외야수,2500,1990-09-16,1990,185,86,서울학동초,서울강남중,서울성남고,한국,중앙대,2013,롯데
롯데,손아섭,외야수,40000,1988-03-18,1988,174,88,양정초,개성중,부산고,한국,(영남사이버대),2007,롯데
삼성,손형준,외야수,2400,1989-07-01,1989,186,88,본리초(삼성리틀),경상중,경북고,한국,연세대,2012,삼성
한화,송주호,외야수,2900,1988-07-11,1988,181,75,효제초,중앙중,중앙고,한국,(방송통신대)-삼성,,
삼성,송준석,외야수,2400,1994-05-04,1994,176,78,청구초,배명중,장충고,한국,(대구사이버대),2014,삼성
