team,playerName,position,salary,birth,birthYear,height,weight,elementarySchool,middleSchool,highSchool,nationality,teamCareer,joinYear,joinTeam
KIA,서재응,투수,20000,1977-05-24,1977,181,97,화정초,충장중,광주제일고,한국,인하대,1998,뉴욕메츠
두산,성영훈,투수,2400,1990-06-24,1990,180,82,구암초,덕수중,덕수고,한국,,2009,두산
넥센,소사,투수,150000,1985-07-28,1985,186,95,,,,도미니카,,,
NC,손민한,투수,10000,1975-01-02,1975,180,85,대연초,대천중,부산고,한국,고려대-롯데,,
넥센,손승락,투수,43000,1982-03-04,1982,187,88,내당초,경상중,대구고,한국,영남대-현대-경찰,2005,현대
NC,손정욱,투수,3300,1990-12-24,1990,182,84,도곡초,홍은중,덕수고,한국,경희대,2013,NC
롯데,송승준,투수,36000,1980-06-29,1980,183,105,하단초,경남중,경남고,한국,,1999,보스턴
넥센,송신영,투수,30000,1977-03-01,1977,180,88,재동초,중앙중,중앙고,한국,고려대-현대-우리-히어로즈-넥센-LG-한화-NC,1999,현대
LG,송윤준,투수,2600,1992-07-16,1992,186,78,남산초,공주중,북일고,한국,,2011,LG
KIA,송은범,투수,30000,1984-03-17,1984,182,88,서흥초,동산중,동산고,한국,SK,2003,SK
롯데,송주은,투수,2400,1994-03-25,1994,189,97,양정초,대천중,부산고,한국,,2013,롯데
한화,송창식,투수,13000,1985-03-25,1985,183,104,청주서원초,세광중,세광고,한국,,2004,한화
한화,송창현,투수,4600,1989-08-17,1989,181,100,대해초,매송중,야탑고,한국,제주국제대-롯데,2013,롯데
LG,신동훈,투수,2500,1994-01-24,1994,183,80,수유초(구리리틀),신일중,서울고,한국,,2012,LG
넥센,신명수,투수,2400,1994-07-16,1994,180,95,삼신초,울산제일중,울산공고,한국,,,
LG,신승현,투수,6500,1983-08-13,1983,193,102,금평초,전주동중,전주고,한국,(전남과학대)-SK-KIA,,
삼성,신용운,투수,9000,1983-09-08,1983,180,72,진북초,전주동중,전주고,한국,KIA-경찰-KIA,2002,KIA
